Club;Year;Mode;P;V;E;D;GF;GS
Flamengo;2008;LG;64;18;10;11;67;49
Flamengo;2008;HM;37;11;4;4;42;24
Flamengo;2008;AW;27;7;6;7;25;25
Flamengo;2008;OP;31;9;4;6;30;19
Flamengo;2008;ED;33;9;6;5;37;30
Fluminense;2008;LG;45;11;12;15;49;48
Fluminense;2008;HM;27;7;6;6;24;19
Fluminense;2008;AW;18;4;6;9;25;29
Fluminense;2008;OP;16;4;4;11;21;29
Fluminense;2008;ED;29;7;8;4;28;19
Goiás;2008;LG;53;14;11;13;57;47
Goiás;2008;HM;37;11;4;4;40;20
Goiás;2008;AW;16;3;7;9;17;27
Goiás;2008;OP;23;6;5;8;23;28
Goiás;2008;ED;30;8;6;5;34;19
Grêmio;2008;LG;72;21;9;8;59;35
Grêmio;2008;HM;46;14;4;1;29;10
Grêmio;2008;AW;26;7;5;7;30;25
Grêmio;2008;OP;41;12;5;2;35;12
Grêmio;2008;ED;31;9;4;6;24;23
Internacional;2008;LG;54;15;9;14;48;47
Internacional;2008;HM;43;13;4;2;31;11
Internacional;2008;AW;11;2;5;12;17;36
Internacional;2008;OP;26;7;5;7;21;20
Internacional;2008;ED;28;8;4;7;27;27
Ipatinga;2008;LG;35;9;8;21;37;67
Ipatinga;2008;HM;30;9;3;7;28;25
Ipatinga;2008;AW;5;0;5;14;9;42
Ipatinga;2008;OP;16;4;4;11;20;34
Ipatinga;2008;ED;19;5;4;10;17;33
Juventude;2008;LG;3;1;0;0;2;1
Juventude;2008;HM;3;1;0;0;2;1
Juventude;2008;AW;0;0;0;0;0;0
Juventude;2008;OP;0;0;0;0;0;0
Juventude;2008;ED;3;1;0;0;2;1
Náutico;2008;LG;47;12;11;16;45;54
Náutico;2008;HM;35;10;5;5;28;21
Náutico;2008;AW;12;2;6;11;17;33
Náutico;2008;OP;21;6;3;10;20;29
Náutico;2008;ED;26;6;8;6;25;25
Palmeiras;2008;LG;65;19;8;11;55;45
Palmeiras;2008;HM;44;14;2;3;37;17
Palmeiras;2008;AW;21;5;6;8;18;28
Palmeiras;2008;OP;34;10;4;5;32;21
Palmeiras;2008;ED;31;9;4;6;23;24
Portuguesa;2008;LG;38;9;11;17;47;67
Portuguesa;2008;HM;32;8;8;3;33;23
Portuguesa;2008;AW;6;1;3;14;14;44
Portuguesa;2008;OP;22;6;4;8;25;36
Portuguesa;2008;ED;16;3;7;9;22;31
Santos;2008;LG;45;11;12;15;44;53
Santos;2008;HM;33;9;6;4;34;21
Santos;2008;AW;12;2;6;11;10;32
Santos;2008;OP;17;4;5;10;21;33
Santos;2008;ED;28;7;7;5;23;20
Sport;2008;LG;51;14;9;15;49;47
Sport;2008;HM;38;11;5;2;34;16
Sport;2008;AW;13;3;4;13;15;31
Sport;2008;OP;26;8;2;8;21;24
Sport;2008;ED;25;6;7;7;28;23
São Paulo;2008;LG;75;21;12;5;66;36
São Paulo;2008;HM;46;14;4;1;38;12
São Paulo;2008;AW;29;7;8;4;28;24
São Paulo;2008;OP;33;9;6;4;33;21
São Paulo;2008;ED;42;12;6;1;33;15
Vasco;2008;LG;40;11;7;20;56;71
Vasco;2008;HM;25;7;4;8;36;30
Vasco;2008;AW;15;4;3;12;20;41
Vasco;2008;OP;16;4;4;10;27;38
Vasco;2008;ED;24;7;3;10;29;33
Vitória;2008;LG;51;15;6;16;48;44
Vitória;2008;HM;38;11;5;3;35;15
Vitória;2008;AW;13;4;1;13;13;29
Vitória;2008;OP;31;10;1;7;30;21
Vitória;2008;ED;20;5;5;9;18;23
Athlético-PR;2009;LG;48;13;9;16;42;49
Athlético-PR;2009;HM;33;9;6;4;24;18
Athlético-PR;2009;AW;15;4;3;12;18;31
Athlético-PR;2009;OP;24;7;3;9;21;29
Athlético-PR;2009;ED;24;6;6;7;21;20
Atlético-MG;2009;LG;56;16;8;14;55;56
Atlético-MG;2009;HM;32;9;5;5;26;21
Atlético-MG;2009;AW;24;7;3;9;29;35
Atlético-MG;2009;OP;32;9;5;5;32;25
Atlético-MG;2009;ED;24;7;3;9;23;31
Avaí;2009;LG;57;15;12;11;61;52
Avaí;2009;HM;36;10;6;3;36;22
Avaí;2009;AW;21;5;6;8;25;30
Avaí;2009;OP;30;8;6;5;28;22
Avaí;2009;ED;27;7;6;6;33;30
Barueri;2009;LG;49;12;13;13;59;52
Barueri;2009;HM;37;10;7;2;35;14
Barueri;2009;AW;12;2;6;11;24;38
Barueri;2009;OP;28;7;7;5;38;28
Barueri;2009;ED;21;5;6;8;21;24
Botafogo;2009;LG;47;11;14;13;52;58
Botafogo;2009;HM;31;8;7;5;31;28
Botafogo;2009;AW;16;3;7;8;21;30
Botafogo;2009;OP;21;4;9;6;26;31
Botafogo;2009;ED;26;7;5;7;26;27
Corinthians;2009;LG;52;14;10;14;50;54
Corinthians;2009;HM;32;10;2;7;32;30
Corinthians;2009;AW;20;4;8;7;18;24
Corinthians;2009;OP;28;8;4;7;23;23
Corinthians;2009;ED;24;6;6;7;27;31
Coritiba;2009;LG;45;12;9;17;48;60
Coritiba;2009;HM;34;10;4;5;32;22
Coritiba;2009;AW;11;2;5;12;16;38
Coritiba;2009;OP;19;5;4;10;26;32
Coritiba;2009;ED;26;7;5;7;22;28
Cruzeiro;2009;LG;62;18;8;12;58;53
Cruzeiro;2009;HM;30;9;3;7;30;25
Cruzeiro;2009;AW;32;9;5;5;28;28
Cruzeiro;2009;OP;22;6;4;9;19;28
Cruzeiro;2009;ED;40;12;4;3;39;25
Flamengo;2009;LG;67;19;10;9;58;44
Flamengo;2009;HM;40;12;4;2;32;11
Flamengo;2009;AW;27;7;6;7;26;33
Flamengo;2009;OP;27;7;6;6;28;31
Flamengo;2009;ED;40;12;4;3;30;13
Fluminense;2009;LG;46;11;13;14;49;56
Fluminense;2009;HM;31;8;7;4;27;22
Fluminense;2009;AW;15;3;6;10;22;34
Fluminense;2009;OP;15;3;6;10;21;32
Fluminense;2009;ED;31;8;7;4;28;24
Goiás;2009;LG;55;15;10;13;64;65
Goiás;2009;HM;33;9;6;4;36;29
Goiás;2009;AW;22;6;4;9;28;36
Goiás;2009;OP;35;10;5;4;37;26
Goiás;2009;ED;20;5;5;9;27;39
Grêmio;2009;LG;55;15;10;13;67;46
Grêmio;2009;HM;47;14;5;0;53;19
Grêmio;2009;AW;8;1;5;13;14;27
Grêmio;2009;OP;28;8;4;7;33;22
Grêmio;2009;ED;27;7;6;6;34;24
Internacional;2009;LG;65;19;8;11;65;44
Internacional;2009;HM;40;12;4;3;41;17
Internacional;2009;AW;25;7;4;8;24;27
Internacional;2009;OP;37;11;4;4;37;23
Internacional;2009;ED;28;8;4;7;28;21
Náutico;2009;LG;38;10;8;20;48;71
Náutico;2009;HM;28;8;4;7;24;20
Náutico;2009;AW;10;2;4;13;24;51
Náutico;2009;OP;18;4;6;9;22;37
Náutico;2009;ED;20;6;2;11;26;34
Palmeiras;2009;LG;62;17;11;10;58;45
Palmeiras;2009;HM;40;11;7;1;35;19
Palmeiras;2009;AW;22;6;4;9;23;26
Palmeiras;2009;OP;37;10;7;2;31;17
Palmeiras;2009;ED;25;7;4;8;27;28
Santo André;2009;LG;41;11;8;19;46;61
Santo André;2009;HM;29;8;5;6;29;25
Santo André;2009;AW;12;3;3;13;17;36
Santo André;2009;OP;18;4;6;9;21;29
Santo André;2009;ED;23;7;2;10;25;32
Santos;2009;LG;49;12;13;13;58;58
Santos;2009;HM;30;8;6;5;35;27
Santos;2009;AW;19;4;7;8;23;31
Santos;2009;OP;26;6;8;5;34;34
Santos;2009;ED;23;6;5;8;24;24
Sport;2009;LG;31;7;10;21;48;71
Sport;2009;HM;24;7;3;9;28;29
Sport;2009;AW;7;0;7;12;20;42
Sport;2009;OP;13;3;4;12;24;37
Sport;2009;ED;18;4;6;9;24;34
São Paulo;2009;LG;65;18;11;9;57;42
São Paulo;2009;HM;42;12;6;1;34;13
São Paulo;2009;AW;23;6;5;8;23;29
São Paulo;2009;OP;33;9;6;4;28;21
São Paulo;2009;ED;32;9;5;5;29;21
Vitória;2009;LG;48;13;9;16;51;57
Vitória;2009;HM;38;11;5;3;39;24
Vitória;2009;AW;10;2;4;13;12;33
Vitória;2009;OP;25;7;4;8;27;29
Vitória;2009;ED;23;6;5;8;24;28
Athlético-PR;2010;LG;60;17;9;12;43;45
Athlético-PR;2010;HM;42;12;6;1;27;16
Athlético-PR;2010;AW;18;5;3;11;16;29
Athlético-PR;2010;OP;27;8;3;8;23;28
Athlético-PR;2010;ED;33;9;6;4;20;17
Atlético-GO;2010;LG;42;11;9;18;51;57
Atlético-GO;2010;HM;27;7;6;6;31;24
Atlético-GO;2010;AW;15;4;3;12;20;33
Atlético-GO;2010;OP;17;4;5;10;22;26
Atlético-GO;2010;ED;25;7;4;8;29;31
Atlético-MG;2010;LG;45;13;6;19;52;64
Atlético-MG;2010;HM;28;9;1;9;33;29
Atlético-MG;2010;AW;17;4;5;10;19;35
Atlético-MG;2010;OP;17;5;2;12;23;34
Atlético-MG;2010;ED;28;8;4;7;29;30
Avaí;2010;LG;43;11;10;17;49;58
Avaí;2010;HM;32;9;5;5;34;20
Avaí;2010;AW;11;2;5;12;15;38
Avaí;2010;OP;23;6;5;8;28;29
Avaí;2010;ED;20;5;5;9;21;29
Barueri;2010;LG;31;7;10;21;39;64
Barueri;2010;HM;20;5;5;9;25;25
Barueri;2010;AW;11;2;5;12;14;39
Barueri;2010;OP;19;4;7;8;19;25
Barueri;2010;ED;12;3;3;13;20;39
Botafogo;2010;LG;59;14;17;7;54;42
Botafogo;2010;HM;34;8;10;1;32;19
Botafogo;2010;AW;25;6;7;6;22;23
Botafogo;2010;OP;31;8;7;4;30;20
Botafogo;2010;ED;28;6;10;3;24;22
Ceará;2010;LG;47;10;17;11;35;44
Ceará;2010;HM;36;9;9;1;22;12
Ceará;2010;AW;11;1;8;10;13;32
Ceará;2010;OP;25;6;7;6;15;15
Ceará;2010;ED;22;4;10;5;20;29
Corinthians;2010;LG;68;19;11;8;65;41
Corinthians;2010;HM;47;15;2;2;41;14
Corinthians;2010;AW;21;4;9;6;24;27
Corinthians;2010;OP;37;11;4;4;34;21
Corinthians;2010;ED;31;8;7;4;31;20
Cruzeiro;2010;LG;69;20;9;9;53;38
Cruzeiro;2010;HM;38;11;5;3;27;15
Cruzeiro;2010;AW;31;9;4;6;26;23
Cruzeiro;2010;OP;31;8;7;4;22;17
Cruzeiro;2010;ED;38;12;2;5;31;21
Flamengo;2010;LG;44;9;17;12;41;44
Flamengo;2010;HM;27;6;9;4;24;19
Flamengo;2010;AW;17;3;8;8;17;25
Flamengo;2010;OP;22;5;7;7;14;15
Flamengo;2010;ED;22;4;10;5;27;29
Fluminense;2010;LG;71;20;11;7;62;36
Fluminense;2010;HM;41;12;5;2;31;15
Fluminense;2010;AW;30;8;6;5;31;21
Fluminense;2010;OP;38;11;5;3;32;16
Fluminense;2010;ED;33;9;6;4;30;20
Goiás;2010;LG;33;8;9;21;41;68
Goiás;2010;HM;20;5;5;9;20;29
Goiás;2010;AW;13;3;4;12;21;39
Goiás;2010;OP;13;3;4;12;16;37
Goiás;2010;ED;20;5;5;9;25;31
Grêmio;2010;LG;63;17;12;9;68;43
Grêmio;2010;HM;37;11;4;4;41;20
Grêmio;2010;AW;26;6;8;5;27;23
Grêmio;2010;OP;20;4;8;7;23;26
Grêmio;2010;ED;43;13;4;2;45;17
Guarani;2010;LG;37;8;13;17;33;53
Guarani;2010;HM;30;7;9;3;17;15
Guarani;2010;AW;7;1;4;14;16;38
Guarani;2010;OP;26;6;8;5;22;24
Guarani;2010;ED;11;2;5;12;11;29
Internacional;2010;LG;58;16;10;12;48;41
Internacional;2010;HM;34;9;7;3;25;15
Internacional;2010;AW;24;7;3;9;23;26
Internacional;2010;OP;31;9;4;6;24;20
Internacional;2010;ED;27;7;6;6;24;21
Palmeiras;2010;LG;50;12;14;12;42;43
Palmeiras;2010;HM;29;8;5;6;26;23
Palmeiras;2010;AW;21;4;9;6;16;20
Palmeiras;2010;OP;24;5;9;5;21;22
Palmeiras;2010;ED;26;7;5;7;21;21
Santos;2010;LG;56;15;11;12;63;50
Santos;2010;HM;35;10;5;4;32;16
Santos;2010;AW;21;5;6;8;31;34
Santos;2010;OP;34;10;4;5;30;22
Santos;2010;ED;22;5;7;7;33;28
São Paulo;2010;LG;55;15;10;13;54;54
São Paulo;2010;HM;33;10;3;6;31;27
São Paulo;2010;AW;22;5;7;7;23;27
São Paulo;2010;OP;25;6;7;6;25;25
São Paulo;2010;ED;30;9;3;7;29;29
Vasco;2010;LG;49;11;16;11;43;45
Vasco;2010;HM;36;9;9;1;33;20
Vasco;2010;AW;13;2;7;10;10;25
Vasco;2010;OP;29;7;8;4;21;18
Vasco;2010;ED;20;4;8;7;22;27
Vitória;2010;LG;42;9;15;14;42;48
Vitória;2010;HM;29;7;8;4;29;24
Vitória;2010;AW;13;2;7;10;13;24
Vitória;2010;OP;22;5;7;7;22;26
Vitória;2010;ED;20;4;8;7;20;22
América-MG;2011;LG;37;8;13;17;51;69
América-MG;2011;HM;28;7;7;5;33;27
América-MG;2011;AW;9;1;6;12;18;42
América-MG;2011;OP;13;2;7;10;22;37
América-MG;2011;ED;24;6;6;7;29;32
Athlético-PR;2011;LG;41;10;11;17;38;55
Athlético-PR;2011;HM;32;8;8;3;23;18
Athlético-PR;2011;AW;9;2;3;14;15;37
Athlético-PR;2011;OP;18;4;6;9;20;28
Athlético-PR;2011;ED;23;6;5;8;18;27
Atlético-GO;2011;LG;48;12;12;14;50;45
Atlético-GO;2011;HM;30;9;3;7;25;14
Atlético-GO;2011;AW;18;3;9;7;25;31
Atlético-GO;2011;OP;25;7;4;8;22;21
Atlético-GO;2011;ED;23;5;8;6;28;24
Atlético-MG;2011;LG;45;13;6;19;50;60
Atlético-MG;2011;HM;33;10;3;6;31;21
Atlético-MG;2011;AW;12;3;3;13;19;39
Atlético-MG;2011;OP;15;4;3;12;24;38
Atlético-MG;2011;ED;30;9;3;7;26;22
Avaí;2011;LG;31;7;10;21;45;75
Avaí;2011;HM;19;4;7;8;26;31
Avaí;2011;AW;12;3;3;13;19;44
Avaí;2011;OP;17;4;5;10;21;40
Avaí;2011;ED;14;3;5;11;24;35
Bahia;2011;LG;46;11;13;14;43;49
Bahia;2011;HM;28;7;7;5;26;23
Bahia;2011;AW;18;4;6;9;17;26
Bahia;2011;OP;20;4;8;7;21;27
Bahia;2011;ED;26;7;5;7;22;22
Botafogo;2011;LG;56;16;8;14;52;49
Botafogo;2011;HM;38;11;5;3;37;19
Botafogo;2011;AW;18;5;3;11;15;30
Botafogo;2011;OP;34;10;4;5;29;19
Botafogo;2011;ED;22;6;4;9;23;30
Ceará;2011;LG;39;10;9;19;47;64
Ceará;2011;HM;26;7;5;7;31;25
Ceará;2011;AW;13;3;4;12;16;39
Ceará;2011;OP;25;7;4;8;27;28
Ceará;2011;ED;14;3;5;11;20;36
Corinthians;2011;LG;71;21;8;9;53;36
Corinthians;2011;HM;41;13;2;4;32;19
Corinthians;2011;AW;30;8;6;5;21;17
Corinthians;2011;OP;37;11;4;4;30;18
Corinthians;2011;ED;34;10;4;5;23;18
Coritiba;2011;LG;57;16;9;13;57;41
Coritiba;2011;HM;43;13;4;2;40;13
Coritiba;2011;AW;14;3;5;11;17;28
Coritiba;2011;OP;26;7;5;7;32;24
Coritiba;2011;ED;31;9;4;6;25;17
Cruzeiro;2011;LG;43;11;10;17;48;51
Cruzeiro;2011;HM;29;8;5;6;31;23
Cruzeiro;2011;AW;14;3;5;11;17;28
Cruzeiro;2011;OP;27;8;3;8;26;20
Cruzeiro;2011;ED;16;3;7;9;22;31
Figueirense;2011;LG;58;15;13;10;46;45
Figueirense;2011;HM;30;8;6;5;23;20
Figueirense;2011;AW;28;7;7;5;23;25
Figueirense;2011;OP;26;7;5;7;21;24
Figueirense;2011;ED;32;8;8;3;25;21
Flamengo;2011;LG;61;15;16;7;59;47
Flamengo;2011;HM;34;9;7;3;30;18
Flamengo;2011;AW;27;6;9;4;29;29
Flamengo;2011;OP;36;9;9;1;33;21
Flamengo;2011;ED;25;6;7;6;26;26
Fluminense;2011;LG;63;20;3;15;60;51
Fluminense;2011;HM;36;12;0;7;36;24
Fluminense;2011;AW;27;8;3;8;24;27
Fluminense;2011;OP;25;8;1;10;22;22
Fluminense;2011;ED;38;12;2;5;38;29
Grêmio;2011;LG;48;13;9;16;49;57
Grêmio;2011;HM;33;9;6;4;33;23
Grêmio;2011;AW;15;4;3;12;16;34
Grêmio;2011;OP;24;6;6;7;19;23
Grêmio;2011;ED;24;7;3;9;30;34
Internacional;2011;LG;60;16;12;10;57;43
Internacional;2011;HM;36;10;6;3;34;23
Internacional;2011;AW;24;6;6;7;23;20
Internacional;2011;OP;27;7;6;6;28;24
Internacional;2011;ED;33;9;6;4;29;19
Palmeiras;2011;LG;50;11;17;10;43;39
Palmeiras;2011;HM;33;9;6;4;25;16
Palmeiras;2011;AW;17;2;11;6;18;23
Palmeiras;2011;OP;32;8;8;3;25;14
Palmeiras;2011;ED;18;3;9;7;18;25
Santos;2011;LG;53;15;8;15;55;55
Santos;2011;HM;35;10;5;4;31;20
Santos;2011;AW;18;5;3;11;24;35
Santos;2011;OP;22;6;4;9;23;29
Santos;2011;ED;31;9;4;6;32;26
São Paulo;2011;LG;59;16;11;11;57;46
São Paulo;2011;HM;33;9;6;4;31;18
São Paulo;2011;AW;26;7;5;7;26;28
São Paulo;2011;OP;35;10;5;4;30;23
São Paulo;2011;ED;24;6;6;7;27;23
Vasco;2011;LG;69;19;12;7;57;40
